orgunituid	sitename	operatingunit	operatingunituid	countryname	snu1	snu1uid	psnu	psnuuid	snuprioritization	typemilitary	dreams	primepartner	fundingagency	mech_code	mech_name	pre_rgnlztn_hq_mech_code	prime_partner_duns	award_number	communityuid	community	communityprioritization	facilityuid	facility	facilityprioritization	sitetype	indicator	numeratordenom	indicatortype	disaggregate	standardizeddisaggregate	categoryoptioncomboname	ageasentered	trendsfine	trendssemifine	trendscoarse	sex	statushiv	statustb	statuscx	hiv_treatment_status	otherdisaggregate	otherdisaggregate_sub	modality	fiscal_year	targets	qtr1	qtr2	qtr3	qtr4	cumulative	source_name
Mmwk3yPicUT	Sekgoma Memorial Hospital	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Serowe District	YmeyoDakwFX	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	YmeyoDakwFX	Serowe District		Mmwk3yPicUT	Sekgoma Memorial Hospital	4 - Sustained	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	40-44	40-44	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2019			43		45	88	DATIM
FNNP67kP3sU	Phuthadikobo Clinic	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	FNNP67kP3sU	Phuthadikobo Clinic	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	20-24	20-24	20-24	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2019					27	27	DATIM
DexWPpCcWpb	Kasane Primary Hospital	Botswana	l1KFEXKI4Dg	Botswana	Chobe District	ML4czwDtK10	Chobe District	e9Ze74PEe99	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	e9Ze74PEe99	Chobe District		DexWPpCcWpb	Kasane Primary Hospital		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive"	40-44	40-44	25-49	15+	Female	Positive		Positive		"Cervical Cancer Screened - First Time, Cervical Cancer - Positive"			2019			60		15	75	DATIM
Tx2jOmEE24c	Scottish Livingstone Hospital	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	Tx2jOmEE24c	Scottish Livingstone Hospital	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"35-39, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive"	35-39	35-39	25-49	15+	Female	Positive		Positive		"Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive"			2020			89		76	165	DATIM
IMbmvKI0ILR	Sefhare Primary Hospital	Botswana	l1KFEXKI4Dg	Botswana	Central District	dBanTQZVvtG	Mahalapye District	iY69BUSqcnC	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	iY69BUSqcnC	Mahalapye District	3 - Scale-Up	IMbmvKI0ILR	Sefhare Primary Hospital		Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"35-39, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	35-39	35-39	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2019			78		21	99	DATIM
qoJWuD0anQJ	Bamalete Lutheran Hospital	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	South East District	YksWHI1yLuv	4 - Sustained	N	N	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	YksWHI1yLuv	South East District	3 - Scale-Up	qoJWuD0anQJ	Bamalete Lutheran Hospital	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"25-29, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	25-29	25-29	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2020			87		99	186	DATIM
oCSxicRdOV3	Broadhurst Traditional Area Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	VB7am4futjm	Gaborone District	3 - Scale-Up	oCSxicRdOV3	Broadhurst Traditional Area Clinic	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"40-44, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive"	40-44	40-44	25-49	15+	Female	Positive		Positive		"Cervical Cancer Screened - First Time, Cervical Cancer - Positive"			2020			82			82	DATIM
Ca43njZzQT3	Princess Marina Referral Hospital	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	VB7am4futjm	Gaborone District	3 - Scale-Up	Ca43njZzQT3	Princess Marina Referral Hospital	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus	Age/Sex/HIVStatus	"40-44, Female, Positive"	40-44	40-44	25-49	15+	Female	Positive							2020	150						DATIM
s89O2Bw1xK2	Nkoyaphiri Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	VB7am4futjm	Gaborone District	3 - Scale-Up	s89O2Bw1xK2	Nkoyaphiri Clinic	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"30-34, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	30-34	30-34	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2019			84		63	147	DATIM
s89O2Bw1xK2	Nkoyaphiri Clinic	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	JHPIEGO CORPORATION	HHS/CDC	17846	Capacity Building through Training and Mentoring for  Cervical Cancer	17846	618022149	NU2GGH001481	VB7am4futjm	Gaborone District	3 - Scale-Up	s89O2Bw1xK2	Nkoyaphiri Clinic	3 - Scale-Up	Facility	CXCA_SCRN	N	DSD	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	Age/Sex/HIVStatus/ScreenResult/ScreenVisitType	"45-49, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative"	45-49	45-49	25-49	15+	Female	Positive		Negative		"Cervical Cancer Screened - First Time, Cervical Cancer - Negative"			2019			42		58	100	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"50+, Female, Sexual Violence (Post-Rape Care)"	50+	50+	50+	15+	Female					Sexual Violence Post-Rape Care			2021			35			35	DATIM
VB7am4futjm	Gaborone District	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	~	Data reported above Facility level	Not Available	Community	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"25-29, Female, Sexual Violence (Post-Rape Care)"	25-29	25-29	25-49	15+	Female					Sexual Violence Post-Rape Care			2019	190				29	29	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"35-39, Female, Physical and/or Emotional Violence"	35-39	35-39	25-49	15+	Female					Physical and/or Emotional Violence			2020					3	3	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"30-34, Male, Physical and/or Emotional Violence"	30-34	30-34	25-49	15+	Male					Physical and/or Emotional Violence			2021			1		59	60	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"30-34, Female, Sexual Violence (Post-Rape Care)"	30-34	30-34	25-49	15+	Female					Sexual Violence Post-Rape Care			2021			53		9	62	DATIM
VB7am4futjm	Gaborone District	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	~	Data reported above Facility level	Not Available	Community	GEND_GBV	N	DSD	Age/Sex/PEP	Age/Sex/PEP	"35-39, Female"	35-39	35-39	25-49	15+	Female								2019					37	37	DATIM
VB7am4futjm	Gaborone District	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	~	Data reported above Facility level	Not Available	Community	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"40-49, Female, Physical and/or Emotional Violence"	40-49	40-49	25-49	15+	Female					Physical and/or Emotional Violence			2019	55						DATIM
VB7am4futjm	Gaborone District	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	~	Data reported above Facility level	Not Available	Community	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"45-49, Female, Physical and/or Emotional Violence"	45-49	40-49	25-49	15+	Female					Physical and/or Emotional Violence			2019					87	87	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/PEP	Age/Sex/PEP	"20-24, Female"	20-24	20-24	20-24	15+	Female								2021			64			64	DATIM
I4c9hkYKwVF	Molepolole Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	I4c9hkYKwVF	Molepolole Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"50+, Female, Sexual Violence (Post-Rape Care)"	50+	50+	50+	15+	Female					Sexual Violence Post-Rape Care			2021					59	59	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"15-19, Male, Physical and/or Emotional Violence"	15-19	15-19	15-19	15+	Male					Physical and/or Emotional Violence			2020					53	53	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"10-14, Female, Sexual Violence (Post-Rape Care)"	14-Oct	14-Oct	14-Oct	<15	Female					Sexual Violence Post-Rape Care			2021			55		50	105	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"15-19, Male, Physical and/or Emotional Violence"	15-19	15-19	15-19	15+	Male					Physical and/or Emotional Violence			2021			23		64	87	DATIM
VB7am4futjm	Gaborone District	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	~	Data reported above Facility level	Not Available	Community	GEND_GBV	N	DSD	Age/Sex/PEP	Age/Sex/PEP	"15-19, Female"	15-19	15-19	15-19	15+	Female								2019					86	86	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"<10, Female, Sexual Violence (Post-Rape Care)"	<10	<10	<10	<15	Female					Sexual Violence Post-Rape Care			2021			55			55	DATIM
ZULdFkX3NrK	Gaborone Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	South East District	Dy1sl76KWJO	Gaborone District	VB7am4futjm	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	VB7am4futjm	Gaborone District	3 - Scale-Up	ZULdFkX3NrK	Gaborone Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"40-44, Female, Physical and/or Emotional Violence"	40-44	40-49	25-49	15+	Female					Physical and/or Emotional Violence			2021			92		68	160	DATIM
I4c9hkYKwVF	Molepolole Tebelopele Centre	Botswana	l1KFEXKI4Dg	Botswana	Kweneng District	VUnIpCPLhPI	Kweneng East District	Uz8LWtC0vYF	4 - Sustained	N	Y	Family Health International	USAID	70014	Accelerating Progress in Communities (APC 2.0)	70014	67180786	72067419LA00003	Uz8LWtC0vYF	Kweneng East District	3 - Scale-Up	I4c9hkYKwVF	Molepolole Tebelopele Centre		Facility	GEND_GBV	N	DSD	Age/Sex/ViolenceType	Age/Sex/ViolenceType	"25-29, Female, Physical and/or Emotional Violence"	25-29	25-29	25-49	15+	Female					Physical and/or Emotional Violence			2021			98		20	118	DATIM
